Episode,Reward
0,-274.6293515268983
1,-243.55793726387208
2,-341.8570437353454
3,-260.0757364646307
4,-339.805696945601
5,-118.09202920175055
6,-459.02532431776064
7,-277.2747925507258
8,-157.61475732718654
9,-668.3914938148683
10,-189.1816900026494
11,-199.1998935791073
12,-379.7561138703204
13,-105.40663922671011
14,-75.02977600856502
15,-220.12293474269222
16,-514.9296837405925
17,-238.9642799140465
18,-390.0712728348647
19,-132.139984568304
20,-57.56083618887483
21,-349.14822473354275
22,-37.745033302693315
23,-119.47474452853064
24,-339.73148145386386
25,-373.34535448804564
26,-225.7478595552461
27,-209.02058396811725
28,-57.35027172264728
29,-172.23379429198343
30,-95.05549338500948
31,-263.8032800064327
32,-189.00344165963543
33,-369.8748384522964
34,-9.496306325444436
35,-242.16217100282196
36,-356.26312212518815
37,-79.19731479003133
38,-20.533280583628127
39,-191.3244894916691
40,-163.7109944441923
41,-208.33644404870057
42,-114.02157286049373
43,-228.51567811322386
44,-83.12884761368326
45,-153.89893687357875
46,-61.97147548339164
47,-227.5211102484933
48,-81.13795168424375
49,-115.7606869092242
50,-261.19296424929973
51,16.73002487764279
52,-176.43771118519314
53,-210.1488180727187
54,-130.52381121495068
55,-279.3194936239652
56,-104.10981888860243
57,77.07374893618093
58,-136.85835423109214
59,-1.2539294352063592
60,-36.03253514648685
61,-138.86134634319512
62,-289.3103936074243
63,-37.506761846917726
64,-35.317805968634204
65,-166.31945276945595
66,-228.4148613708963
67,-49.55294869498064
68,189.77090157201764
69,-168.90264555459717
70,-204.96333446529434
71,-0.7783961165626494
72,-299.15987959252277
73,-85.82400912106385
74,-232.09925338553575
75,-188.872910140918
76,-16.945092837703328
77,-47.274309159025925
78,-214.3912972615381
79,-64.22741524561147
80,-280.72557536590034
81,-97.48176011365716
82,-4.680699670900053
83,-4.2067194696350825
84,-1.0539537404618593
85,-42.30739648638176
86,-214.27099039707127
87,-44.381519618401455
88,26.03615852094157
89,-44.10608200138686
90,-6.925175676221762
91,-138.6484594336026
92,-110.50147794449481
93,-14.215298705984978
94,-231.14122315778502
95,-256.459627180613
96,-19.07548980436735
97,-26.78559949808745
98,-13.633546038264445
99,-88.74111543572141
100,-170.44087845685968
101,-144.47712972159923
102,-338.8557798888886
103,-85.7280324500359
104,1.7299984476765786
105,-204.40885214373472
106,2.260674305125974
107,-63.31606938194402
108,-46.51036146643459
109,-136.95608516303307
110,-219.15587928082914
111,-47.83873319738208
112,-19.912034603155416
113,-39.6046371789506
114,-120.07983402191597
115,12.66474543457967
116,-2.4208258462014474
117,-198.84016654131204
118,-24.80364929962884
119,-98.88537277547985
120,-16.786462623151927
121,-174.02359014031234
122,-157.58137540418883
123,-90.92488632232465
124,-28.29568551577238
125,-285.45721541417174
126,-130.55962991516154
127,-145.55103518678516
128,-174.14846967882877
129,-30.49329862193376
130,-96.68697633934029
131,-173.7203552234295
132,-135.9482237441792
133,-16.656861033873952
134,-166.15758491815905
135,-195.78566276788763
136,-151.57852458223783
137,-122.64697734862266
138,-165.54427284472243
139,-195.65491957278496
140,-156.148363760769
141,-164.06193663701058
142,-37.36169348763326
143,-188.20388595429415
144,-272.2454389867483
145,-141.2173093884347
146,-207.292623885365
147,-127.08213192863543
148,-183.02158850799992
149,-160.7061895585745
150,-154.86965784538341
151,-197.4421920335482
152,-144.8736615156399
153,-156.41471542222914
154,-55.58571707596684
155,1.2759908394856865
156,-175.16670726884516
157,-120.55842556614476
158,-128.85926125722847
159,-183.41824430604603
160,-174.91876704674542
161,-365.62243068041215
162,-169.4830489442509
163,-139.62997609328528
164,-163.54810831280562
165,-183.72069296045166
166,-205.81768907234425
167,-211.25293771106374
168,-186.8813369626618
169,-203.24312151090442
170,-190.59830416277572
171,-138.81388284869698
172,-266.2031126576072
173,-127.13591742994736
174,-249.0783628351302
175,-166.57339995092696
176,-114.21079326023678
177,-162.09393641034654
178,-198.99785957627765
179,-187.33440429480035
180,-190.95967719105306
181,-225.04174615951467
182,-211.6233525039128
183,-2.4290229505220537
184,-254.959255506673
185,-228.530732864892
186,-179.99177915303605
187,-239.07237352869285
188,-298.6790002227667
189,-196.56136186478702
190,-231.99228135329338
191,-153.54138470366792
192,-225.7336506267376
193,-385.70344585014186
194,-143.58868066547768
195,-263.33087844505815
196,-222.49806776025855
197,-233.18624367087557
198,-186.06053164183817
199,-273.3894388920412
200,-340.89598785028306
201,-138.07718501740578
202,-203.38182311622685
203,-195.23326126041187
204,-351.98847970354984
205,-219.30211937749658
206,-208.07011332124358
207,-273.65543470022624
208,-244.02573248322162
209,-200.40444683455496
210,-224.31478270810578
211,-361.8699678523787
212,-144.86396544789767
213,-203.57482353510034
214,-205.71105262438863
215,-218.43500796644568
216,-188.32045580907672
217,-142.57547412183578
218,-189.0055364771984
219,-213.3741970104973
220,-173.07631976956498
221,-183.31376889131792
222,-116.7160437629778
223,-157.6662010927094
224,-87.34556746225232
225,-171.1575264905408
226,-121.6389516669961
227,-179.8460472035414
228,-179.15997178813927
229,-298.82097426912065
230,-200.35646797503927
231,-214.66036019019833
232,-297.1251215981838
233,-160.37599252122388
234,-150.0557512958157
235,-178.90739250431764
236,-216.38233580441613
237,-168.0844719948213
238,-192.36279350678234
239,-145.63018372580643
240,-115.72181645934936
241,-119.35948799926354
242,-156.91548627326904
243,-145.53769094265073
244,-680.5145613753647
245,-170.42284803712488
246,-140.51717752771796
247,-87.53001076674802
248,-160.13104075188687
249,-161.7039102548
250,-149.89282753711745
251,-199.04268632473605
252,-116.94916916998913
253,-188.49683629478253
254,-149.43550951604288
255,-226.74778943830682
256,-198.19786250683023
257,-91.85167121332829
258,-81.90323076507985
259,-274.1367825381474
260,-207.7140173684707
261,-144.70708957586132
262,-123.71038416644345
263,-160.28639838838615
264,-133.90358255660806
265,-95.83294066137876
266,-187.40133869762562
267,-156.62689434951685
268,-156.3770868439383
269,-325.8558097348025
270,-65.47136333253505
271,-102.63028549487692
272,-133.77389153774376
273,-173.72983167064945
274,-222.86465061865806
275,-137.08965959168756
276,-76.28262483312136
277,-284.70110839968584
278,-203.10931443501192
279,-272.4210881217338
280,-322.62213903422577
281,-148.51544023382894
282,-190.23298045052806
283,-152.5013482530482
284,-270.599276233236
285,-317.81092073290944
286,-279.0030539001202
287,-230.66263124856468
288,-260.73614770562847
289,40.9157261057685
290,-187.14854574950624
291,-128.93285192489918
292,-602.3220566427541
293,-175.17825703271376
294,-339.3037633886753
295,-351.00235369257945
296,-267.29571999188545
297,-219.12350423966228
298,-150.30313011765656
299,-62.97946483662831
300,-421.7520264522153
301,-228.15669320158247
302,-130.2714298164812
303,-182.40706759732615
304,-176.08970291663582
305,-235.00129311312725
306,-252.06725025823567
307,-111.35868431140753
308,-154.96469711343394
309,-35.460080356120386
310,-270.2417986835436
311,-224.811303465969
312,-465.4547683556744
313,-170.5085218389985
314,-182.2061754487111
315,-147.74242927824085
316,-338.4163323574737
317,-412.2741252539402
318,23.16929695110374
319,-127.76251675341761
320,-213.48676459792256
321,-251.97591135301295
322,-133.48353281423954
323,-158.12979965700748
324,-325.8476065153452
325,-236.95575092141084
326,-260.06437110587456
327,-182.55016608408454
328,-61.43117495796484
329,-172.94249928899853
330,-83.94475634650283
331,-142.24511526505802
332,-117.07349075354269
333,-186.29206934058453
334,-138.25154953557208
335,-200.04013852941296
336,-300.409979980122
337,-125.38976540436197
338,-121.56846819541575
339,-144.18294332493025
340,-145.62487057628945
341,-291.9090684567726
342,-463.6257264840553
343,-374.1142995050415
344,-319.0495408828276
345,-74.3231168221909
346,-208.8193285723729
347,-221.95789957522467
348,-241.95682709708163
349,-202.79302597827612
350,-154.75733245337557
351,-131.1746162532266
352,-93.16159300096234
353,-127.4672092970122
354,-106.81812366222083
355,-96.10968024259792
356,-160.03068706726037
357,-197.06203468718243
358,-185.71526595058515
359,-161.08067236508873
360,-113.27178023732488
361,-155.72460355724573
362,-125.84087672622046
363,-150.03235410573626
364,212.70110785413743
365,-180.4620571355406
366,-184.79325069286708
367,-154.61367511768603
368,-112.88512802886012
369,-143.74953138089785
370,-232.87908893335722
371,-232.92373472606306
372,-126.31751867697248
373,-170.83667257239156
374,-147.7539608741372
375,-118.13053490580936
376,-86.97308420584419
377,-124.77060715514881
378,-117.63088918708834
379,-89.39611048819637
380,-117.65032373123273
381,-126.77078249307576
382,-169.99869958624254
383,-152.88175902990136
384,-113.59868755772152
385,-134.8052245877272
386,-138.7211089575801
387,-65.11379726882325
388,-160.2374969461364
389,-102.21178268987353
390,-119.4560443560257
391,-55.301192544297926
392,-123.8963828627723
393,-136.54620658213426
394,-16.64786566137373
395,-130.85420147286442
396,-138.98606704922284
397,-119.1113037029454
398,-127.23009707127689
399,-155.19087855215056
400,-165.13576458053183
401,-40.435748507791345
402,-418.727254888506
403,-212.53990293543632
404,-129.5637428105482
405,-171.91233018611857
406,-114.69926000137
407,-208.1709304433779
408,-102.89232873532997
409,-166.74332209606987
410,-112.5975701341906
411,-126.01812583371049
412,-119.75908245280944
413,-299.98214591258113
414,-278.3195361611538
415,-170.7917234121814
416,-188.59135924593105
417,-290.2137124925485
418,-296.02071398770545
419,-226.86377188429068
420,-162.43595199385175
421,-502.80324057450764
422,-422.77621995076726
423,-315.7598097674538
424,-178.1202715261514
425,-97.92171789808562
426,-273.8985279062946
427,-246.24843447054323
428,-206.07128066821855
429,-171.32684715992983
430,-140.91247491851715
431,-193.06208884502155
432,-129.27703490677052
433,-51.770445933701176
434,-206.7339755750665
435,-183.95994567307366
436,-106.45711351318225
437,-124.91616395228243
438,-374.4730393673909
439,-131.71952834296687
440,-210.84588550009417
441,-128.708486429115
442,-131.16632343168308
443,-225.0066183565517
444,-124.62725427235026
445,-143.66831608012777
446,-212.69025112243457
447,-15.813793511360785
448,-179.7492840114339
449,-326.1471991563987
450,-170.97421631914912
451,-234.65585406453553
452,-115.64472239616008
453,-208.6317162268399
454,-244.48694244047303
455,-180.48562308205868
456,-255.95035029934002
457,-199.15630207492904
458,-222.44939727828393
459,-158.40540000612566
460,-194.96764878516814
461,-123.29536789832429
462,-154.63789525168252
463,-268.31996770467435
464,-171.25704058740897
465,-157.87239136554845
466,-82.65214225267496
467,-232.813020405739
468,-210.69474316906437
469,-235.57372314116742
470,-225.32541330116194
471,-102.07015099307979
472,-12.207879088522063
473,-199.98514964522127
474,-123.15479681291245
475,-137.7723953519283
476,241.09416611927855
477,-144.4026219714614
478,-156.67066415968685
479,-146.35714443844716
480,-42.13410542492349
481,-24.972032498585904
482,-79.12663349579859
483,8.146380054965604
484,-23.117749425521538
485,-67.87307671923548
486,-20.589804393453647
487,-72.28118875896513
488,-74.59406621255268
489,-93.78500534207262
490,-108.26651657772075
491,-205.1729976163003
492,-39.56806674665347
493,-174.56383535656653
494,-262.2061706712011
495,-84.46610859963346
496,-104.46522028666507
497,-155.46374383794395
498,-205.36595129537645
499,-277.05656258606007
500,-154.79036007399793
